Incident ID,Year,Month,Country,Region,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive
223,2003,3,Liberia,,,0,3,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3,1,0,2,Unknown,Ambush,Road,Unknown
220,2003,3,Sudan,South Darfur,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Ambush,Road,Unknown
224,2003,3,DR Congo,Tshopo,Badiya,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Unknown
221,2003,3,Afghanistan,Kandahar,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Ambush,Road,Unknown
226,2003,4,Iraq,,,0,3,0,0,0,0,1,0,0,1,0,2,0,2,1,2,0,3,2,0,1,Shooting,Ambush,Road,Unknown
227,2003,4,Liberia,,,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,Unknown
225,2003,4,Iraq,Baghdad,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,Incidental
228,2003,4,South Africa,Gauteng,Pretoria,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,Unknown
230,2003,5,South Sudan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shelling,Ambush,Road,Unknown
232,2003,5,Somalia,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Raid,Office/compound,Economic
233,2003,5,Uganda,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,Political
231,2003,5,Afghanistan,Wardak,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
229,2003,5,DR Congo,,,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Unknown,Unknown,Unknown
235,2003,6,Chechnya,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Unknown,Unknown,Unknown
234,2003,6,DR Congo,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Unknown,Unknown,Unknown
237,2003,7,Iraq,,,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2,1,0,1,Unknown,Ambush,Road,Unknown
238,2003,7,Burundi,Makamba,Makamba,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Unknown
239,2003,7,Burundi,Makamba,Makamba,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,Unknown
240,2003,7,Liberia,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shelling,Unknown,Unknown,Unknown
242,2003,7,Senegal,Dakar,Dakar,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Bodily assault,Individual attack,Public location,Economic
243,2003,7,Chechnya,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Home,Unknown
236,2003,7,Iraq,,,2,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,1,0,1,Unknown,Ambush,Road,Unknown
241,2003,7,Afghanistan,Farah,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
246,2003,8,Chechnya,,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Unknown,Home,Unknown
248,2003,8,Afghanistan,,,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Unknown,Ambush,Road,Unknown
250,2003,8,Afghanistan,Helmand,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,Unknown
251,2003,8,DR Congo,South Kivu,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown
249,2003,8,Eritrea,Ansema,Adobha (near),0,3,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,1,0,2,Shooting,Ambush,Road,Unknown
247,2003,8,Afghanistan,Ghazni,,0,0,0,6,0,0,2,4,0,6,0,0,0,0,2,4,0,6,0,0,6,Unknown,Ambush,Unknown,Unknown
